crop_type,acreage,harvest_date,yield,fertilizer_type
corn,4190.73,8/26/2022,386.1,phosphorus
rice,2860.07,8/22/2022,127.76,nitrogen
soybeans,1193.78,10/15/2022,253.27,potassium
soybeans,4817.36,8/23/2022,224.3,nitrogen
wheat,8060.77,3/18/2022,36.87,potassium
cotton,935.16,6/2/2022,131.32,potassium
rice,1824.6,11/18/2022,434.62,potassium
cotton,905.39,9/6/2022,277.34,nitrogen
rice,6518.13,6/15/2022,2.56,nitrogen
soybeans,7938.95,4/24/2022,337.7,nitrogen
cotton,825.01,7/10/2022,308.17,nitrogen
corn,3410.19,9/27/2022,285.35,potassium
rice,7460.96,8/26/2022,289.04,potassium
cotton,5409.78,1/30/2022,474.61,potassium
corn,4673.51,9/9/2022,39.5,phosphorus
soybeans,8037.63,11/27/2022,290.8,phosphorus
wheat,8985.37,8/18/2022,9.68,phosphorus
wheat,1970.78,1/13/2022,28.49,nitrogen
rice,8948.67,12/10/2022,106.27,phosphorus
soybeans,2148.82,2/6/2022,398.75,phosphorus
rice,3066.92,2/20/2022,37.97,nitrogen
cotton,2536.34,12/6/2022,343.1,phosphorus
cotton,5596.84,2/16/2022,401.93,potassium
corn,2396.22,4/28/2022,409.58,potassium
cotton,1586.48,4/13/2022,345.9,nitrogen
cotton,8202.38,10/15/2022,456.38,potassium
corn,7602.33,6/16/2022,62.74,potassium
cotton,8128.58,11/17/2022,55.06,phosphorus
cotton,96.89,6/12/2022,177.34,phosphorus
cotton,7812.3,7/14/2022,412.96,nitrogen
wheat,4904.69,6/15/2022,361.52,potassium
wheat,944.35,3/14/2022,105.58,nitrogen
soybeans,2907.58,8/11/2022,216.85,phosphorus
cotton,2907.71,5/15/2022,229.09,phosphorus
soybeans,2550.37,9/13/2022,284.04,phosphorus
soybeans,5110.48,3/28/2022,152.38,potassium
rice,9284.79,9/4/2022,31.17,potassium
cotton,2665.4,6/8/2022,375.06,potassium
wheat,8082.54,3/23/2022,403.37,nitrogen
rice,1737.49,6/16/2022,31.98,potassium
wheat,4179.14,2/24/2022,279.05,phosphorus
rice,536.15,9/25/2022,298.2,potassium
soybeans,6529.7,6/29/2022,361.42,phosphorus
corn,1772.84,5/30/2022,292.34,potassium
wheat,9997.06,12/10/2022,14.01,nitrogen
cotton,6676.58,4/5/2022,60.56,phosphorus
wheat,1868.94,8/16/2022,458.45,potassium
rice,7388.26,2/3/2022,344.6,phosphorus
rice,865.3,9/8/2022,382.1,potassium
wheat,3131.22,8/10/2022,218.74,phosphorus
soybeans,5101.09,1/29/2022,458.3,nitrogen
corn,9012.41,5/31/2022,240.66,nitrogen
corn,5102.72,1/20/2022,321.73,potassium
rice,3582.67,8/10/2022,271.1,potassium
soybeans,5400.92,8/10/2022,181.33,potassium
wheat,2097.39,1/7/2022,55.87,nitrogen
wheat,5924.83,3/20/2022,246.43,phosphorus
rice,2295.68,4/5/2022,170.15,potassium
wheat,3325.62,11/25/2022,473.68,phosphorus
rice,6800.05,8/15/2022,396.5,phosphorus
rice,4350.18,11/11/2022,150.86,nitrogen
corn,2159.14,9/2/2022,107.67,potassium
wheat,4855.86,5/4/2022,86.08,nitrogen
corn,8599.31,2/19/2022,378.06,nitrogen
rice,5225.16,2/17/2022,376.88,nitrogen
wheat,6405.85,1/7/2022,387.98,nitrogen
wheat,9436.27,2/8/2022,390.57,nitrogen
wheat,966.8,3/1/2022,475.71,potassium
wheat,9286.5,11/12/2022,306.95,potassium
soybeans,2666.82,11/30/2022,266.99,phosphorus
rice,6994.36,7/18/2022,97.45,phosphorus
corn,4054.16,10/16/2022,209.54,potassium
rice,382.17,12/3/2022,127.33,phosphorus
soybeans,9520.58,8/1/2022,245.87,nitrogen
corn,4211.62,1/10/2022,206.24,phosphorus
corn,3524.4,4/19/2022,52.93,phosphorus
soybeans,3782.13,4/16/2022,141.19,potassium
cotton,9192.75,12/7/2022,484.29,phosphorus
corn,7542.5,8/31/2022,15.48,phosphorus
wheat,8731.93,8/26/2022,148.68,potassium
soybeans,3.53,9/12/2022,209.57,nitrogen
rice,1666.3,4/12/2022,180.35,potassium
soybeans,1115.76,12/9/2022,323.32,potassium
soybeans,7572.2,3/30/2022,247.49,phosphorus
wheat,5705.07,4/5/2022,38.98,nitrogen
wheat,5576.69,7/12/2022,423.09,nitrogen
soybeans,3413.29,12/19/2022,396.33,nitrogen
wheat,2538.96,11/22/2022,286.2,potassium
soybeans,406.94,7/6/2022,470.35,potassium
corn,2436.6,3/16/2022,71.36,nitrogen
corn,7533.61,10/29/2022,71.25,potassium
soybeans,1984.89,10/14/2022,149.37,nitrogen
soybeans,6758.8,9/23/2022,269.9,potassium
rice,7634.02,10/30/2022,381.53,nitrogen
cotton,9679.76,6/19/2022,223.95,nitrogen
soybeans,6357.96,12/4/2022,172.72,phosphorus
rice,7160.03,4/12/2022,425.97,potassium
cotton,9598.8,5/7/2022,16.03,nitrogen
wheat,9134.75,1/20/2022,158.02,potassium
cotton,3462.78,11/12/2022,479.88,nitrogen
corn,4749.82,2/19/2022,152.68,nitrogen
rice,538.32,9/6/2022,53.86,potassium
soybeans,4590.57,4/1/2022,36.06,potassium
wheat,5580.94,4/17/2022,414.74,phosphorus
corn,1380.41,11/6/2022,79.15,nitrogen
soybeans,7331.42,11/26/2022,239.01,phosphorus
rice,3142.15,2/3/2022,70.64,nitrogen
corn,384.14,3/5/2022,167.72,potassium
corn,6181.46,6/7/2022,490.86,phosphorus
corn,7481.39,2/21/2022,95.55,nitrogen
wheat,2894.85,11/6/2022,407.31,potassium
soybeans,6062.99,8/1/2022,150.52,nitrogen
corn,7777.51,2/24/2022,8.3,phosphorus
corn,1037.88,1/10/2022,212.58,phosphorus
wheat,2914.7,11/30/2022,189.46,phosphorus
rice,7260.83,10/19/2022,381.89,phosphorus
soybeans,5213.12,10/22/2022,472.9,phosphorus
corn,3897.7,9/11/2022,148.04,phosphorus
soybeans,9680.02,6/27/2022,10.15,phosphorus
soybeans,3910.6,9/24/2022,470.44,nitrogen
soybeans,3957.74,4/3/2022,420.71,phosphorus
wheat,7901.26,6/24/2022,243.79,phosphorus
cotton,9434.23,12/25/2022,278.74,nitrogen
wheat,9107.15,10/22/2022,73.92,nitrogen
wheat,7128.02,7/12/2022,282.69,potassium
wheat,980.87,2/12/2022,327.49,potassium
wheat,7746.73,10/23/2022,420.95,potassium
corn,6617.32,8/14/2022,104.5,nitrogen
rice,5915.26,3/15/2022,98.76,nitrogen
soybeans,5488.81,4/1/2022,335.73,potassium
rice,9033.84,3/27/2022,232.77,nitrogen
cotton,3219.23,3/8/2022,304.5,potassium
soybeans,7666.05,4/9/2022,468.74,potassium
soybeans,8945.4,12/14/2022,45.49,nitrogen
wheat,8361.97,11/30/2022,462.46,potassium
soybeans,2245.95,5/21/2022,412.76,phosphorus
corn,6636.89,11/26/2022,437.45,phosphorus
wheat,4662.31,11/26/2022,307.48,potassium
soybeans,7956.75,12/8/2022,198.71,potassium
corn,4766.95,1/2/2022,71.02,phosphorus
wheat,1713.53,10/22/2022,455.9,nitrogen
wheat,8381.24,10/22/2022,428.29,potassium
corn,2127.35,12/20/2022,308.91,potassium
rice,8339.71,2/14/2022,461.73,nitrogen
