crop_type,yield,rainfall,temperature,soil_type,fertilizer_used,pesticide_used,harvest_date
corn,100,8,-6,clayey,false,true,12/6/2022
corn,7,6,9,loamy,false,false,6/15/2022
barley,19,31,-11,sandy,true,false,2/18/2022
barley,98,19,-11,clayey,false,true,10/3/2022
corn,16,45,14,clayey,true,false,1/2/2022
barley,74,19,-20,clayey,false,true,12/18/2022
soybeans,77,29,7,loamy,true,true,1/28/2022
barley,40,22,-18,sandy,true,false,8/19/2022
barley,98,40,12,sandy,true,true,2/7/2022
wheat,67,39,-1,sandy,false,true,7/4/2022
rice,62,48,-1,sandy,false,true,5/18/2022
soybeans,59,19,21,loamy,false,true,12/13/2022
corn,62,45,-14,loamy,false,false,7/12/2022
soybeans,38,27,5,loamy,true,true,11/29/2022
wheat,7,18,10,clayey,false,false,12/22/2022
soybeans,50,24,43,clayey,true,true,11/9/2022
corn,53,27,49,clayey,false,true,3/15/2022
barley,97,2,7,sandy,true,true,6/12/2022
corn,24,29,-20,clayey,true,true,3/12/2022
wheat,13,5,38,clayey,true,true,9/1/2022
barley,17,2,3,loamy,false,false,10/22/2022
barley,68,39,46,clayey,false,false,12/1/2022
corn,51,5,33,loamy,true,false,1/13/2022
corn,24,23,14,sandy,false,true,7/27/2022
corn,1,49,36,sandy,false,true,8/23/2022
wheat,1,24,-11,loamy,false,false,6/4/2022
rice,5,14,-12,loamy,true,false,10/7/2022
barley,88,49,7,clayey,true,false,5/3/2022
corn,90,27,31,clayey,true,true,11/29/2022
soybeans,93,37,48,sandy,true,true,11/18/2022
corn,56,48,22,clayey,false,false,10/5/2022
corn,45,5,5,loamy,false,true,12/2/2022
barley,97,38,25,sandy,true,true,1/31/2022
wheat,84,27,15,clayey,true,false,6/29/2022
barley,79,14,-7,loamy,true,false,5/25/2022
soybeans,12,47,-16,sandy,true,false,2/28/2022
barley,87,1,21,clayey,false,true,8/12/2022
soybeans,85,43,-12,clayey,false,false,8/10/2022
wheat,2,47,21,sandy,false,false,2/6/2022
soybeans,77,30,-3,loamy,true,false,5/6/2022
wheat,33,22,47,sandy,false,false,7/28/2022
barley,20,5,-14,loamy,false,true,11/10/2022
corn,79,17,2,sandy,false,false,6/24/2022
barley,52,7,31,sandy,true,true,12/14/2022
soybeans,8,20,4,clayey,false,false,10/14/2022
wheat,47,48,26,clayey,false,true,12/10/2022
soybeans,24,31,-19,loamy,true,true,7/27/2022
barley,25,25,-9,loamy,true,true,2/26/2022
rice,68,29,-19,loamy,true,false,12/27/2022
wheat,55,0,-6,clayey,true,false,4/27/2022
rice,59,15,21,clayey,false,true,10/22/2022
wheat,69,6,11,loamy,false,false,8/17/2022
rice,16,20,2,loamy,false,true,6/10/2022
barley,20,31,27,loamy,true,true,1/26/2022
soybeans,80,47,26,loamy,false,true,5/23/2022
barley,24,38,-14,sandy,false,true,12/14/2022
rice,32,18,-19,loamy,false,true,3/7/2022
barley,90,13,7,sandy,true,false,2/10/2022
corn,71,14,11,loamy,true,true,12/28/2022
rice,85,22,43,clayey,true,false,12/21/2022
wheat,33,31,29,sandy,true,true,9/9/2022
corn,62,20,-8,sandy,false,true,4/2/2022
corn,55,37,-4,sandy,false,true,11/6/2022
corn,79,31,36,loamy,false,true,5/4/2022
rice,39,38,8,sandy,false,false,7/9/2022
soybeans,40,35,50,sandy,false,true,4/16/2022
rice,46,45,35,clayey,false,false,5/15/2022
rice,56,39,30,clayey,true,true,4/18/2022
corn,4,47,-18,loamy,true,false,4/12/2022
barley,80,42,-10,sandy,false,false,4/4/2022
soybeans,88,23,-6,loamy,true,false,6/13/2022
soybeans,80,45,-7,loamy,true,false,3/18/2022
wheat,81,9,21,loamy,false,false,12/28/2022
barley,74,49,9,sandy,true,false,7/8/2022
rice,55,43,20,loamy,true,true,8/6/2022
rice,65,30,28,clayey,true,true,1/29/2022
rice,45,28,22,clayey,true,true,1/30/2022
soybeans,12,36,29,clayey,false,true,7/27/2022
barley,5,18,26,clayey,false,false,4/13/2022
barley,76,7,19,clayey,true,false,12/21/2022
rice,50,9,16,clayey,true,false,8/9/2022
soybeans,82,5,-11,loamy,true,false,3/10/2022
wheat,1,12,35,loamy,true,true,9/20/2022
rice,27,36,-8,clayey,true,true,4/11/2022
wheat,7,13,48,clayey,true,false,1/16/2022
soybeans,47,41,5,clayey,true,false,1/25/2022
wheat,34,7,16,sandy,true,false,5/18/2022
wheat,79,48,6,sandy,true,true,7/18/2022
wheat,99,39,11,loamy,false,false,12/18/2022
barley,53,30,26,sandy,true,false,3/16/2022
corn,72,7,8,clayey,false,false,11/22/2022
soybeans,80,33,40,clayey,false,true,9/29/2022
corn,98,6,-17,clayey,true,true,3/20/2022
rice,53,5,18,loamy,true,true,1/23/2022
wheat,35,9,5,clayey,true,false,1/6/2022
corn,9,44,45,clayey,false,false,5/27/2022
barley,54,31,12,clayey,false,false,1/2/2022
wheat,94,39,-3,sandy,true,false,2/21/2022
barley,35,5,23,loamy,true,false,9/27/2022
corn,50,50,-15,sandy,false,true,5/4/2022
wheat,87,9,-6,loamy,false,true,8/24/2022
rice,91,49,-1,clayey,false,true,6/27/2022
wheat,4,50,29,clayey,true,false,7/16/2022
soybeans,91,24,-3,sandy,true,false,10/15/2022
barley,59,40,1,loamy,true,false,10/18/2022
rice,29,48,32,clayey,true,false,11/19/2022
corn,75,5,9,clayey,true,true,4/10/2022
wheat,73,47,-11,loamy,false,true,2/14/2022
rice,19,17,40,sandy,true,true,1/17/2022
soybeans,96,2,46,sandy,true,true,8/24/2022
rice,80,14,38,sandy,true,true,9/20/2022
soybeans,17,23,-4,sandy,true,false,8/18/2022
soybeans,39,5,20,clayey,true,false,3/3/2022
rice,16,36,-6,loamy,true,false,11/25/2022
soybeans,11,45,48,loamy,true,false,12/24/2022
corn,35,15,13,clayey,false,false,7/11/2022
soybeans,48,41,25,loamy,false,false,6/7/2022
barley,91,17,6,clayey,false,true,9/7/2022
corn,59,31,16,clayey,true,false,9/29/2022
rice,85,18,44,clayey,false,true,8/3/2022
wheat,91,50,45,sandy,true,true,2/22/2022
barley,20,0,-5,loamy,false,false,8/19/2022
barley,72,32,6,clayey,true,true,2/23/2022
barley,15,47,16,sandy,false,false,7/25/2022
soybeans,33,3,-20,loamy,true,false,12/4/2022
wheat,9,12,-10,sandy,true,true,6/8/2022
barley,47,1,28,loamy,true,false,10/27/2022
rice,74,11,7,sandy,false,false,9/17/2022
corn,13,30,-15,sandy,true,true,9/8/2022
corn,39,6,48,loamy,false,true,7/14/2022
corn,65,39,-14,loamy,false,true,12/18/2022
corn,98,44,36,loamy,true,true,12/4/2022
corn,70,12,-6,loamy,false,false,6/21/2022
barley,23,3,44,loamy,true,true,10/27/2022
corn,34,2,-5,clayey,false,true,8/31/2022
soybeans,96,20,34,sandy,true,true,3/19/2022
rice,10,8,38,clayey,true,true,9/30/2022
corn,72,39,-1,loamy,true,true,4/8/2022
wheat,97,2,48,sandy,false,true,8/31/2022
barley,99,41,1,clayey,false,false,10/25/2022
rice,37,43,2,clayey,false,true,5/23/2022
wheat,47,8,30,clayey,true,true,7/3/2022
corn,79,15,41,loamy,false,true,5/2/2022
corn,32,30,37,sandy,false,true,4/17/2022
barley,81,25,-17,clayey,false,true,7/21/2022
soybeans,74,42,18,sandy,true,true,9/3/2022
barley,76,10,44,clayey,false,true,5/4/2022
rice,92,43,-2,sandy,false,false,10/11/2022
soybeans,77,19,-20,clayey,false,true,9/4/2022
wheat,46,10,-10,loamy,false,false,5/7/2022
corn,18,32,37,sandy,true,false,5/2/2022
barley,98,1,-8,clayey,true,false,3/30/2022
barley,2,19,37,clayey,true,false,1/10/2022
wheat,52,31,-2,sandy,true,true,6/13/2022
soybeans,21,0,25,loamy,true,true,5/4/2022
soybeans,95,14,50,loamy,false,false,6/18/2022
wheat,74,31,-6,sandy,false,false,10/9/2022
soybeans,70,49,45,loamy,false,true,7/6/2022
corn,32,38,-1,sandy,false,false,8/18/2022
corn,86,34,9,sandy,false,true,2/14/2022
corn,45,30,-17,loamy,false,false,7/7/2022
soybeans,94,41,27,clayey,true,true,4/21/2022
soybeans,39,7,38,loamy,true,true,6/27/2022
barley,88,0,43,sandy,false,true,6/17/2022
wheat,14,8,45,clayey,false,false,8/9/2022
corn,92,1,41,loamy,true,false,1/26/2022
wheat,33,4,2,sandy,false,true,9/19/2022
corn,74,36,-9,clayey,false,false,5/14/2022
corn,85,44,33,sandy,true,true,7/9/2022
soybeans,68,4,25,sandy,false,true,2/18/2022
soybeans,94,37,9,loamy,true,false,2/10/2022
soybeans,95,2,30,loamy,false,false,11/21/2022
rice,13,16,7,loamy,true,false,6/18/2022
corn,70,7,-14,clayey,true,true,1/7/2022
soybeans,67,27,-10,clayey,false,true,6/13/2022
soybeans,93,4,-16,loamy,true,true,9/20/2022
wheat,45,33,42,loamy,true,true,4/12/2022
soybeans,32,48,46,sandy,false,true,8/29/2022
rice,43,28,20,sandy,true,false,6/6/2022
barley,24,12,16,sandy,false,false,10/26/2022
wheat,38,17,30,loamy,false,false,6/14/2022
wheat,96,26,9,sandy,false,false,6/14/2022
barley,51,28,24,sandy,false,false,11/25/2022
corn,33,24,7,clayey,true,false,1/2/2022
barley,4,35,37,clayey,true,true,7/28/2022
rice,55,15,3,loamy,false,true,3/26/2022
barley,16,39,26,loamy,false,true,4/11/2022
corn,6,19,47,clayey,true,true,5/14/2022
barley,3,37,32,clayey,false,true,7/1/2022
barley,55,43,10,clayey,false,false,11/23/2022
rice,78,21,40,loamy,true,true,9/5/2022
wheat,94,2,-11,loamy,true,false,9/3/2022
rice,46,40,-4,clayey,true,true,4/27/2022
wheat,39,32,-13,clayey,false,true,7/10/2022
corn,51,18,-2,loamy,false,true,4/3/2022
soybeans,28,25,26,clayey,false,true,1/23/2022
barley,10,9,28,sandy,true,true,6/25/2022
wheat,36,10,42,clayey,false,true,1/1/2022
corn,29,47,-15,loamy,true,true,1/22/2022
soybeans,58,13,-5,loamy,true,false,4/23/2022
wheat,30,11,18,loamy,false,true,1/2/2022
rice,90,32,-1,sandy,true,false,7/8/2022
corn,44,15,44,clayey,false,false,3/7/2022
corn,84,37,16,sandy,false,false,3/8/2022
barley,74,47,13,loamy,true,true,3/2/2022
corn,37,4,-7,sandy,true,false,7/11/2022
soybeans,18,44,11,loamy,true,false,8/15/2022
wheat,33,41,9,sandy,true,false,1/28/2022
corn,61,2,-1,clayey,true,true,11/1/2022
corn,79,6,17,loamy,false,true,6/22/2022
wheat,80,37,7,sandy,true,false,10/17/2022
wheat,1,38,45,loamy,true,true,1/31/2022
corn,93,41,-1,sandy,true,false,12/23/2022
barley,85,24,-2,clayey,false,true,9/21/2022
wheat,19,21,32,loamy,false,true,8/11/2022
wheat,29,48,50,loamy,true,true,9/27/2022
barley,86,13,23,loamy,true,false,8/3/2022
barley,32,9,-6,clayey,true,true,1/25/2022
barley,82,34,32,clayey,false,false,4/5/2022
soybeans,22,12,-12,clayey,true,true,9/30/2022
barley,31,29,-2,sandy,true,false,10/7/2022
soybeans,95,35,46,clayey,true,false,12/19/2022
corn,50,22,43,sandy,true,true,8/6/2022
rice,29,18,-18,sandy,true,true,9/21/2022
corn,14,3,29,clayey,false,false,12/3/2022
corn,92,16,36,loamy,false,false,6/4/2022
soybeans,69,32,13,clayey,true,true,6/3/2022
soybeans,47,16,-14,loamy,false,true,4/26/2022
wheat,99,10,-11,loamy,false,true,7/11/2022
rice,88,26,24,clayey,true,false,11/24/2022
rice,13,48,6,loamy,false,false,9/17/2022
barley,5,23,23,loamy,true,true,7/26/2022
rice,23,2,5,loamy,false,false,4/21/2022
soybeans,83,14,18,loamy,false,true,4/14/2022
barley,96,24,4,clayey,false,true,8/6/2022
barley,11,15,-1,loamy,true,false,1/20/2022
rice,44,39,4,loamy,false,false,7/16/2022
wheat,46,8,5,sandy,true,false,6/6/2022
barley,53,2,-5,sandy,true,true,10/17/2022
rice,11,26,46,clayey,false,true,7/2/2022
corn,34,10,45,sandy,true,true,7/30/2022
soybeans,30,48,22,sandy,true,false,8/13/2022
soybeans,84,18,32,sandy,false,true,7/21/2022
corn,88,16,32,clayey,true,true,5/3/2022
corn,63,16,-9,sandy,false,true,3/25/2022
rice,77,28,-19,sandy,false,true,11/3/2022
barley,4,6,-16,clayey,true,false,1/27/2022
corn,90,49,-17,clayey,true,false,12/14/2022
barley,82,45,10,sandy,true,false,8/21/2022
barley,7,35,6,loamy,false,false,10/1/2022
soybeans,6,12,-13,clayey,false,false,1/25/2022
barley,91,32,6,loamy,false,false,1/16/2022
rice,56,13,43,clayey,true,true,12/8/2022
corn,27,37,-1,sandy,false,true,3/11/2022
corn,19,7,-7,clayey,true,false,12/24/2022
barley,57,29,-17,loamy,true,true,1/22/2022
soybeans,66,37,9,clayey,true,false,9/17/2022
wheat,100,40,-3,sandy,true,true,4/13/2022
barley,70,40,21,loamy,true,false,6/5/2022
wheat,93,29,30,loamy,false,false,3/11/2022
wheat,70,46,17,loamy,true,false,6/7/2022
soybeans,66,22,41,loamy,true,false,10/8/2022
soybeans,26,4,-7,sandy,false,false,3/6/2022
rice,87,49,41,sandy,true,false,7/31/2022
rice,50,8,50,loamy,false,false,10/11/2022
soybeans,19,17,45,sandy,false,false,12/30/2022
wheat,11,39,2,loamy,true,false,9/13/2022
corn,28,44,40,clayey,false,false,4/27/2022
soybeans,72,27,36,clayey,false,true,8/25/2022
corn,25,9,-18,loamy,true,true,11/14/2022
wheat,38,21,-7,clayey,true,false,11/7/2022
wheat,35,31,-13,sandy,true,false,10/4/2022
barley,49,48,36,sandy,true,true,8/13/2022
barley,3,4,38,loamy,false,false,5/3/2022
corn,18,30,28,clayey,false,false,11/9/2022
corn,42,32,35,sandy,false,true,10/4/2022
rice,82,35,-13,clayey,false,false,2/18/2022
barley,14,34,39,clayey,true,false,9/17/2022
soybeans,65,14,20,clayey,true,true,9/8/2022
soybeans,75,8,10,clayey,true,false,5/19/2022
rice,90,43,42,clayey,true,false,8/4/2022
soybeans,84,39,-17,clayey,true,false,10/25/2022
rice,7,30,14,clayey,true,true,8/30/2022
barley,36,4,3,sandy,true,false,3/8/2022
soybeans,78,40,19,clayey,true,false,6/5/2022
corn,94,36,1,sandy,true,false,9/10/2022
corn,50,48,31,sandy,false,true,2/26/2022
wheat,34,44,10,loamy,false,true,3/19/2022
corn,15,23,33,sandy,false,false,4/5/2022
wheat,25,43,19,sandy,true,false,4/8/2022
corn,20,15,12,loamy,false,false,9/14/2022
barley,19,18,29,sandy,true,true,4/5/2022
rice,24,1,38,sandy,true,true,11/10/2022
barley,81,3,1,sandy,false,false,1/10/2022
rice,17,22,10,sandy,true,false,10/11/2022
barley,62,38,20,loamy,false,false,11/23/2022
corn,42,40,29,sandy,false,true,9/26/2022
wheat,7,22,10,loamy,true,false,12/11/2022
soybeans,2,31,27,clayey,true,true,5/19/2022
barley,77,20,50,sandy,false,false,6/1/2022
